,Components,alpha_in,alpha_out,alpha_inout,power [nW]
0,add0,49.63,49.91,49.72,41936.6
1,add1,49.7,49.88,49.76,42147.4
2,add2,49.68,50.08,49.81,42187.1
3,mul0,74.97,49.59,62.28,3449910.0
4,mul1,74.96,49.67,62.32,3449570.0
5,mul2,74.95,49.5,62.23,3450330.0
6,mul3,75.01,49.48,62.24,3454200.0
7,reg_Q0,49.59,49.59,49.59,50072.0
8,reg_Q1,49.91,49.91,49.91,50150.0
9,reg_Q2,49.88,49.88,49.88,50140.0
10,reg_Y,50.08,50.08,50.08,48036.0
11,zfir_32bit,74.97,50.08,50.08,14360000.0
