Unnamed: 0,Components,alpha_in,alpha_out,alpha_inout,power [nW],est [nW],err_est [%]
0,add0,49.63,49.91,49.72,41936.6,44212.29928404954,-5.43
1,add1,49.7,49.88,49.76,42147.4,44212.29928404954,-4.9
2,add2,49.68,50.08,49.81,42187.1,44374.111503560474,-5.18
3,mul0,74.97,49.59,62.28,3449910.0,3508273.8163107336,-1.69
4,mul1,74.96,49.67,62.32,3449570.0,3509206.5899774283,-1.73
5,mul2,74.95,49.5,62.23,3450330.0,3504708.880428772,-1.58
6,mul3,75.01,49.48,62.24,3454200.0,3504708.880428772,-1.46
7,reg_Q0,49.59,49.59,49.59,50072.0,50589.70504351976,-1.03
8,reg_Q1,49.91,49.91,49.91,50150.0,50589.70504351976,-0.88
9,reg_Q2,49.88,49.88,49.88,50140.0,50589.70504351976,-0.9
10,reg_Y,50.08,50.08,50.08,48036.0,50589.70504351976,-5.32
11,zfir_32bit,74.97,50.08,50.08,14360000.0,14362055.697391441,-0.01
