,alpha_in,alpha_out,alpha_inout,Power [nW]
0,0.78,13.2,6.988888888888889,43025.72222222222
1,1.56,26.26888888888889,13.912222222222223,85970.91111111111
2,3.11,34.57,18.83888888888889,162938.11111111112
3,3.8899999999999997,36.528888888888886,20.21111111111111,202631.77777777778
4,4.67,38.36,21.51555555555556,237512.22222222222
5,6.23,41.00555555555556,23.615555555555556,313001.44444444444
6,7.0,41.733333333333334,24.369999999999997,351501.8888888889
7,7.779999999999999,42.64555555555555,25.213333333333335,388050.22222222225
8,9.34,43.83555555555555,26.58777777777778,464169.44444444444
9,10.12,44.23777777777778,27.17777777777778,492746.6666666667
10,10.89,44.58111111111111,27.737777777777776,534501.3333333334
11,12.45,45.45222222222222,28.952222222222222,607433.4444444445
12,13.23,45.583333333333336,29.40666666666667,645397.6666666666
13,14.01,45.75222222222222,29.880000000000003,683451.5555555555
14,14.779999999999998,46.13777777777778,30.461111111111116,722605.4444444445
15,15.559999999999999,46.23444444444445,30.897777777777776,752476.5555555555
16,17.12,46.696666666666665,31.90888888888888,827431.3333333334
17,17.9,46.82,32.357777777777784,864034.8888888889
18,18.68,47.05111111111111,32.864444444444445,902113.4444444445
19,20.23,47.22888888888888,33.73111111111111,978754.6666666666
20,21.01,47.22222222222222,34.11666666666667,1005659.5555555555
21,21.79,47.40777777777778,34.59777777777777,1048438.8888888889
22,23.34,47.53555555555556,35.440000000000005,1123054.4444444445
23,24.12,47.62222222222221,35.87333333333333,1159007.7777777778
24,24.9,47.687777777777775,36.29333333333333,1185625.5555555555
25,25.68,47.71666666666667,36.69888888888889,1233243.3333333333
26,26.46,47.888888888888886,37.17111111111111,1268175.5555555555
27,28.01,48.17666666666667,38.09555555555555,1336711.111111111
28,28.790000000000003,48.17888888888889,38.48555555555555,1372647.7777777778
29,29.57,48.08222222222222,38.82444444444444,1405030.0
30,31.130000000000003,48.19222222222223,39.657777777777774,1480360.0
31,31.899999999999995,48.361111111111114,40.13333333333333,1516397.7777777778
32,32.68,48.35666666666667,40.519999999999996,1553151.111111111
33,34.24,48.480000000000004,41.357777777777784,1630752.2222222222
34,35.02,48.35555555555556,41.68444444444444,1660366.6666666667
35,35.79,48.525555555555556,42.15888888888889,1698948.888888889
36,36.57,48.5488888888889,42.56111111111111,1732857.7777777778
37,37.35,48.57555555555555,42.96222222222222,1767802.2222222222
38,38.91,48.712222222222216,43.809999999999995,1854618.888888889
39,39.69,48.658888888888896,44.17222222222222,1884048.888888889
40,40.46,48.70666666666667,44.58444444444444,1917211.111111111
41,42.02,48.83444444444444,45.428888888888885,1988198.888888889
42,42.8,48.72333333333333,45.761111111111106,2022027.7777777778
43,43.58,48.86222222222222,46.21777777777778,2062621.111111111
44,45.13,48.86555555555556,47.0,2135737.777777778
45,45.91,48.910000000000004,47.41,2166927.777777778
46,46.69,48.772222222222226,47.730000000000004,2202118.888888889
47,48.24,48.896666666666675,48.57111111111111,2278860.0
48,49.02,49.1,49.062222222222225,2318192.222222222
49,49.8,48.97555555555555,49.38666666666667,2345048.888888889
