Unnamed: 0,Components,alpha_in,alpha_out,alpha_inout,power [nW],est [nW],err_est [%]
0,add0,49.27,49.68,49.41,41807.2,43756.02283153287,-4.66
1,add1,49.38,49.77,49.51,41953.0,43756.02283153287,-4.3
2,add2,49.49,49.97,49.65,42053.8,44212.29928404954,-5.13
3,mul0,49.94,49.29,49.61,2301150.0,2345109.627513386,-1.91
4,mul1,50.05,49.26,49.66,2312210.0,2345109.627513386,-1.42
5,mul2,49.97,49.09,49.53,2308580.0,2345109.627513386,-1.58
6,mul3,49.97,49.23,49.6,2308060.0,2345109.627513386,-1.61
7,reg_Q0,49.29,49.29,49.29,49963.0,50327.218260602436,-0.73
8,reg_Q1,49.68,49.68,49.68,50074.0,50589.70504351976,-1.03
9,reg_Q2,49.77,49.77,49.77,50099.0,50589.70504351976,-0.98
10,reg_Y,49.97,49.97,49.97,48005.0,50589.70504351976,-5.38
11,zfir_32bit,49.94,49.97,49.97,9712590.0,9714259.18839182,-0.02
