,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,Power [nW]
0,0.78,0.78,0.78,0.78,34119.83639999999
1,1.56,1.56,1.56,1.56,34322.9082
2,3.11,3.11,3.11,3.11,34838.94660000001
3,3.8899999999999997,3.8899999999999997,3.8899999999999997,3.8899999999999997,35101.678199999995
4,4.67,4.67,4.67,4.67,35362.19639999999
5,6.23,6.23,6.23,6.23,35886.659999999996
6,7.0,7.0,7.0,7.0,36148.8408
7,7.779999999999999,7.779999999999999,7.779999999999999,7.779999999999999,36411.3276
8,9.34,9.34,9.34,9.34,36936.3828
9,10.12,10.12,10.12,10.12,37197.971999999994
10,10.89,10.89,10.89,10.89,37459.8876
11,12.45,12.45,12.45,12.45,37985.850600000005
12,13.23,13.23,13.23,13.23,38248.531200000005
13,14.01,14.01,14.01,14.01,38510.599799999996
14,14.779999999999998,14.779999999999998,14.779999999999998,14.779999999999998,38773.1478
15,15.559999999999999,15.559999999999999,15.559999999999999,15.559999999999999,39035.6448
16,17.12,17.12,17.12,17.12,39561.016200000005
17,17.9,17.9,17.9,17.9,39823.0644
18,18.68,18.68,18.68,18.68,40085.571599999996
19,20.23,20.23,20.23,20.23,40611.2082
20,21.01,21.01,21.01,21.01,40873.205400000006
21,21.79,21.79,21.79,21.79,41136.4062
22,23.34,23.34,23.34,23.34,41661.2778
23,24.12,24.12,24.12,24.12,41924.131799999996
24,24.9,24.9,24.9,24.9,42186.516599999995
25,25.68,25.68,25.68,25.68,42448.881
26,26.46,26.46,26.46,26.46,42711.81659999999
27,28.01,28.01,28.01,28.01,43236.718799999995
28,28.790000000000003,28.790000000000003,28.790000000000003,28.790000000000003,43499.205599999994
29,29.57,29.57,29.57,29.57,43761.88619999999
30,31.130000000000003,31.130000000000003,31.130000000000003,31.130000000000003,44287.1964
31,31.899999999999995,31.899999999999995,31.899999999999995,31.899999999999995,44550.305400000005
32,32.68,32.68,32.68,32.68,44812.302599999995
33,34.24,34.24,34.24,34.24,45337.521
34,35.02,35.02,35.02,35.02,45600.069
35,35.79,35.79,35.79,35.79,45862.6578
36,36.57,36.57,36.57,36.57,46125.5628
37,37.35,37.35,37.35,37.35,46387.9068
38,38.91,38.91,38.91,38.91,46912.951799999995
39,39.69,39.69,39.69,39.69,47175.9486
40,40.46,40.46,40.46,40.46,47438.3844
41,42.02,42.02,42.02,42.02,47963.470199999996
42,42.8,42.8,42.8,42.8,48225.9672
43,43.58,43.58,43.58,43.58,48488.6478
44,45.13,45.13,45.13,45.13,49014.111000000004
45,45.91,45.91,45.91,45.91,49276.750799999994
46,46.69,46.69,46.69,46.69,49539.1458
47,48.24,48.24,48.24,48.24,50064.37439999999
48,49.02,49.02,49.02,49.02,50327.2182
49,49.8,49.8,49.8,49.8,50589.705
50,50.58,50.58,50.58,50.58,50852.008200000004
51,51.36,51.36,51.36,51.36,51114.7806
52,52.91,52.91,52.91,52.91,51640.1724
53,53.69,53.69,53.69,53.69,51902.8224
54,54.47,54.47,54.47,54.47,52165.299
55,56.03,56.03,56.03,56.03,52690.4868
56,56.8,56.8,56.8,56.8,52953.2898
57,57.580000000000005,57.580000000000005,57.580000000000005,57.580000000000005,53215.797000000006
58,59.14,59.14,59.14,59.14,53741.0562
59,59.919999999999995,59.919999999999995,59.919999999999995,59.919999999999995,54003.6348
60,60.690000000000005,60.690000000000005,60.690000000000005,60.690000000000005,54266.0808
61,62.25,62.25,62.25,62.25,54791.36039999999
62,63.03,63.03,63.03,63.03,55054.0818
63,63.809999999999995,63.809999999999995,63.809999999999995,63.809999999999995,55316.619600000005
64,64.59,64.59,64.59,64.59,55579.3308
65,65.36,65.36,65.36,65.36,55841.787000000004
66,66.92,66.92,66.92,66.92,56367.005399999995
67,67.7,67.7,67.7,67.7,56629.686
68,68.48,68.48,68.48,68.48,56892.10140000001
69,70.03,70.03,70.03,70.03,57417.432
70,70.81,70.81,70.81,70.81,57679.6026
71,71.59,71.59,71.59,71.59,57942.59939999999
72,73.14,73.14,73.14,73.14,58467.85860000001
73,73.92,73.92,73.92,73.92,58730.630999999994
74,74.7,74.7,74.7,74.7,58993.0158
75,75.48,75.48,75.48,75.48,59255.74740000001
76,76.26,76.26,76.26,76.26,59518.2852
77,77.81,77.81,77.81,77.81,60043.4628
78,78.59,78.59,78.59,78.59,60306.1944
79,79.37,79.37,79.37,79.37,60568.76279999998
80,80.93,80.93,80.93,80.93,61093.981199999995
81,81.7,81.7,81.7,81.7,61356.723
82,82.48,82.48,82.48,82.48,61619.15880000001
83,84.04,84.04,84.04,84.04,62144.3874
84,84.82,84.82,84.82,84.82,62406.558
85,85.6,85.6,85.6,85.6,62669.61600000001
86,86.37,86.37,86.37,86.37,62932.316999999995
87,87.15,87.15,87.15,87.15,63194.80379999999
88,88.71,88.71,88.71,88.71,63720.02220000001
89,89.49,89.49,89.49,89.49,63982.733400000005
90,90.26,90.26,90.26,90.26,64245.2304
91,91.82,91.82,91.82,91.82,64770.4896
92,92.6,92.6,92.6,92.6,65033.159999999996
93,93.38,93.38,93.38,93.38,65295.73859999999
94,94.93,94.93,94.93,94.93,65820.906
95,95.71,95.71,95.71,95.71,66083.5968
96,96.49,96.49,96.49,96.49,66346.1142
97,98.05,98.05,98.05,98.05,66871.3428
98,98.82,98.82,98.82,98.82,67134.0642
99,99.6,99.6,99.6,99.6,67396.55099999999
