Unnamed: 0,Components,alpha_in,alpha_out,alpha_inout,power [nW],est [nW],err_est [%],VL,err_VL [%],area [um2],est_area [um2],est_area_err [%]
0,add0,49.38,49.93,49.56,41847,43756.02283,-4.56,28793.1,45.34%,,,
1,add1,49.72,49.93,49.79,42165.6,44212.29928,-4.85,28793.1,46.44%,,,
2,add2,49.7,50.06,49.82,42192.6,44374.1115,-5.17,28793.1,46.54%,,,
3,mul0,66.3,49.38,57.84,3053200,3138955.552,-2.81,1106980,175.81%,,,
4,mul1,66.22,49.39,57.8,3052880,3138955.552,-2.82,1106980,175.78%,,,
5,mul2,66.24,49.51,57.87,3054670,3138955.552,-2.76,1106980,175.95%,,,
6,mul3,66.19,49.47,57.83,3050350,3138955.552,-2.9,1106980,175.56%,,,
7,reg_Q0,49.38,49.38,49.38,49994,50327.21826,-0.67,8728.99,472.74%,,,
8,reg_Q1,49.93,49.93,49.93,50154,50589.70504,-0.87,8728.99,474.57%,,,
9,reg_Q2,49.93,49.93,49.93,50159,50589.70504,-0.86,8728.99,474.63%,,,
10,reg_Y,50.06,50.06,50.06,48033,50589.70504,-5.32,8728.99,450.27%,,,
11,zfir_32bit,66.3,50.06,50.06,12741700,12890260.97,-1.17,,,,,
