Unnamed: 0,Components,alpha_in,alpha_out,alpha_inout,power [nW],est [nW],err_est [%]
0,add0,47.8,49.06,48.22,41058.2,40105.81785519011,2.32
1,add1,48.48,49.56,48.84,41576.3,43225.50088763616,-3.97
2,add2,48.67,49.72,49.02,41671.2,43756.02283153287,-5.0
3,mul0,24.96,47.76,36.36,1158870.0,1233243.3834700212,-6.42
4,mul1,24.96,47.83,36.4,1159280.0,1233243.3834700212,-6.38
5,mul2,25.08,47.9,36.49,1163460.0,1233243.3834700212,-6.0
6,mul3,24.97,47.79,36.38,1157660.0,1233243.3834700212,-6.53
7,reg_Q0,47.76,47.76,47.76,49445.0,49539.14586620448,-0.19
8,reg_Q1,49.06,49.06,49.06,49862.0,50327.218260602436,-0.93
9,reg_Q2,49.56,49.56,49.56,50026.0,50589.70504351976,-1.13
10,reg_Y,49.72,49.72,49.72,47933.0,50589.70504351976,-5.54
11,zfir_32bit,24.96,49.72,49.72,5046960.0,5261106.64966829,-4.24
