Unnamed: 0,Components,alpha_in,alpha_out,alpha_inout,power [nW],est [nW],err_est [%],VL,err_VL [%],area [um2],est_area [um2],est_area_err [%]
0,add0,49.74,50.24,49.91,42046.5,44757.54327,-6.45,28793.1,46.03%,,,
1,add1,50,49.89,49.97,42273.7,44212.29928,-4.59,28793.1,46.82%,,,
2,add2,49.8,50.13,49.91,42266.9,44757.54327,-5.89,28793.1,46.80%,,,
3,mul0,89.98,49.67,69.82,4134490,4239858.445,-2.55,1106980,273.49%,,,
4,mul1,89.93,49.82,69.88,4126620,4239870.736,-2.74,1106980,272.78%,,,
5,mul2,89.97,49.77,69.87,4127840,4239862.85,-2.71,1106980,272.89%,,,
6,mul3,89.97,49.72,69.85,4133670,4239858.445,-2.57,1106980,273.42%,,,
7,reg_Q0,49.67,49.67,49.67,50097,50589.70504,-0.98,8728.99,473.92%,,,
8,reg_Q1,50.24,50.24,50.24,50258,50852.00824,-1.18,8728.99,475.76%,,,
9,reg_Q2,49.89,49.89,49.89,50145,50589.70504,-0.89,8728.99,474.47%,,,
10,reg_Y,50.13,50.13,50.13,48051,50589.70504,-5.28,8728.99,450.48%,,,
11,zfir_32bit,89.98,50.13,50.13,17122700,17295798.99,-1.01,,,,,
