,Components,alpha_in,alpha_out,alpha_inout,power [nW]
0,add0,49.74,50.24,49.91,42046.5
1,add1,50.0,49.89,49.97,42273.7
2,add2,49.8,50.13,49.91,42266.9
3,mul0,89.98,49.67,69.82,4134490.0
4,mul1,89.93,49.82,69.88,4126620.0
5,mul2,89.97,49.77,69.87,4127840.0
6,mul3,89.97,49.72,69.85,4133670.0
7,reg_Q0,49.67,49.67,49.67,50097.0
8,reg_Q1,50.24,50.24,50.24,50258.0
9,reg_Q2,49.89,49.89,49.89,50145.0
10,reg_Y,50.13,50.13,50.13,48051.0
11,zfir_32bit,89.98,50.13,50.13,17122700.0
