Unnamed: 0,Components,alpha_in,alpha_out,alpha_inout,power [nW],est [nW],err_est [%],VL,err_VL [%],area [um2],est_area [um2],est_area_err [%]
0,add0,43.71,47.32,44.91,38583.1,35662.96373,7.57,28793.1,34.00%,,,
1,add1,45.58,48.42,46.53,39945.4,38651.60739,3.24,28793.1,38.73%,,,
2,add2,46.09,48.9,47.03,40296.4,39342.14422,2.37,28793.1,39.95%,,,
3,mul0,10.05,43.63,26.84,478302,482473.9246,-0.87,1106980,-56.79%,,,
4,mul1,10.02,43.8,26.91,475337,482473.9246,-1.5,1106980,-57.06%,,,
5,mul2,10.06,43.84,26.95,479260,482473.9246,-0.67,1106980,-56.71%,,,
6,mul3,9.98,43.76,26.87,472977,482473.9246,-2.01,1106980,-57.27%,,,
7,reg_Q0,43.63,43.63,43.63,48038,48225.96732,-0.39,8728.99,450.33%,,,
8,reg_Q1,47.32,47.32,47.32,49268,49539.14587,-0.55,8728.99,464.42%,,,
9,reg_Q2,48.42,48.42,48.42,49647,50327.21826,-1.37,8728.99,468.76%,,,
10,reg_Y,48.9,48.9,48.9,47692,50327.21826,-5.53,8728.99,446.36%,,,
11,zfir_32bit,10.05,48.9,48.9,2262020,2241971.963,0.89,,,,,
