,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,Power [nW]
0,1.04,1.04,1.04,1.04,12852.3672
1,2.08,2.08,2.08,2.08,12955.0812
2,3.11,3.11,3.11,3.11,13069.4028
3,4.15,4.15,4.15,4.15,13195.332
4,5.19,5.19,5.19,5.19,13326.2082
5,6.23,6.23,6.23,6.23,13457.584200000001
6,7.260000000000001,7.260000000000001,7.260000000000001,7.260000000000001,13588.5012
7,8.3,8.3,8.3,8.3,13719.7956
8,9.34,9.34,9.34,9.34,13850.7942
9,10.38,10.38,10.38,10.38,13982.262
10,11.41,11.41,11.41,11.41,14113.0362
11,12.45,12.45,12.45,12.45,14244.6876
12,13.28,13.28,13.28,13.28,14349.7068
13,14.11,14.11,14.11,14.11,14455.011600000002
14,14.940000000000001,14.940000000000001,14.940000000000001,14.940000000000001,14560.000199999997
15,15.770000000000001,15.770000000000001,15.770000000000001,15.770000000000001,14665.0602
16,16.6,16.6,16.6,16.6,14769.6714
17,17.64,17.64,17.64,17.64,14900.9862
18,18.68,18.68,18.68,18.68,15032.3316
19,19.71,19.71,19.71,19.71,15163.4934
20,20.75,20.75,20.75,20.75,15294.879600000002
21,21.79,21.79,21.79,21.79,15426.0414
22,22.83,22.83,22.83,22.83,15557.437799999998
23,23.86,23.86,23.86,23.86,15688.7424
24,24.9,24.9,24.9,24.9,15819.751200000002
25,25.94,25.94,25.94,25.94,15951.3312
26,26.98,26.98,26.98,26.98,16082.615399999997
27,28.01,28.01,28.01,28.01,16213.940399999996
28,29.049999999999997,29.049999999999997,29.049999999999997,29.049999999999997,16345.051199999998
29,30.09,30.09,30.09,30.09,16476.468000000004
30,31.130000000000003,31.130000000000003,31.130000000000003,31.130000000000003,16607.6298
31,32.16,32.16,32.16,32.16,16739.138400000003
32,33.2,33.2,33.2,33.2,16870.5042
33,34.03,34.03,34.03,34.03,16974.982799999998
34,34.86,34.86,34.86,34.86,17080.0938
35,35.69,35.69,35.69,35.69,17185.061999999998
36,36.52,36.52,36.52,36.52,17290.325999999997
37,37.35,37.35,37.35,37.35,17395.365599999997
38,38.39,38.39,38.39,38.39,17526.9558
39,39.43,39.43,39.43,39.43,17658.3624
40,40.47,40.47,40.47,40.47,17789.738400000002
41,41.5,41.5,41.5,41.5,17920.635000000002
42,42.53,42.53,42.53,42.53,18051.45
43,43.57,43.57,43.57,43.57,18182.897399999998
44,44.61,44.61,44.61,44.61,18314.457000000002
45,45.65,45.65,45.65,45.65,18445.8126
46,46.69,46.69,46.69,46.69,18577.341600000003
47,47.73,47.73,47.73,47.73,18708.707400000003
48,48.77,48.77,48.77,48.77,18840.216
49,49.8,49.8,49.8,49.8,18971.1024
50,50.83,50.83,50.83,50.83,19101.999
51,51.87,51.87,51.87,51.87,19233.405600000002
52,52.91,52.91,52.91,52.91,19364.904000000002
53,53.95,53.95,53.95,53.95,19496.4024
54,54.99,54.99,54.99,54.99,19627.7784
55,56.03,56.03,56.03,56.03,19759.1544
56,57.07,57.07,57.07,57.07,19890.612
57,58.099999999999994,58.099999999999994,58.099999999999994,58.099999999999994,20021.529000000002
58,58.93,58.93,58.93,58.93,20126.13
59,59.760000000000005,59.760000000000005,59.760000000000005,59.760000000000005,20231.2512
60,60.59,60.59,60.59,60.59,20336.3928
61,61.419999999999995,61.419999999999995,61.419999999999995,61.419999999999995,20441.4834
62,62.25,62.25,62.25,62.25,20546.727
63,63.29,63.29,63.29,63.29,20678.1438
64,64.33,64.33,64.33,64.33,20809.5504
65,65.37,65.37,65.37,65.37,20941.0182
66,66.4,66.4,66.4,66.4,21071.9454
67,67.44,67.44,67.44,67.44,21202.831800000004
68,68.47,68.47,68.47,68.47,21334.248600000003
69,69.51,69.51,69.51,69.51,21465.696000000004
70,70.55,70.55,70.55,70.55,21597.2046
71,71.59,71.59,71.59,71.59,21728.509199999997
72,72.63,72.63,72.63,72.63,21860.017799999998
73,73.67,73.67,73.67,73.67,21991.434600000004
74,74.7,74.7,74.7,74.7,22122.392399999997
75,75.74,75.74,75.74,75.74,22253.8194
76,76.78,76.78,76.78,76.78,22385.226
77,77.82,77.82,77.82,77.82,22516.653000000002
78,78.85,78.85,78.85,78.85,22647.621
79,79.89,79.89,79.89,79.89,22778.9868
80,80.93,80.93,80.93,80.93,22910.424000000003
81,81.97,81.97,81.97,81.97,23041.851
82,83.0,83.0,83.0,83.0,23172.829199999996
83,83.83,83.83,83.83,83.83,23277.420000000006
84,84.66,84.66,84.66,84.66,23382.5412
85,85.49,85.49,85.49,85.49,23487.7134
86,86.32,86.32,86.32,86.32,23592.855
87,87.15,87.15,87.15,87.15,23698.0476
88,88.19,88.19,88.19,88.19,23829.4134
89,89.23,89.23,89.23,89.23,23960.860800000002
90,90.27,90.27,90.27,90.27,24092.3082
91,91.3,91.3,91.3,91.3,24223.2864
92,92.34,92.34,92.34,92.34,24354.6522
93,93.38,93.38,93.38,93.38,24486.0894
94,94.42,94.42,94.42,94.42,24617.516399999997
95,95.45,95.45,95.45,95.45,24748.464
96,96.49,96.49,96.49,96.49,24879.880800000003
97,97.53,97.53,97.53,97.53,25011.2772
98,98.57,98.57,98.57,98.57,25142.7348
99,99.6,99.6,99.6,99.6,25273.733399999997
