Unnamed: 0,Components,alpha_in,alpha_out,alpha_inout,power [nW],est [nW],err_est [%]
0,add0,47.7,49.3,48.23,14657.5,14693.62821988588,-0.25
1,add1,48.57,49.87,49.01,14939.3,15709.514218091772,-5.16
2,add2,48.83,49.8,49.15,14968.6,15684.9441448791,-4.79
3,mul0,49.95,47.8,48.87,151885.0,163871.55560445567,-7.89
4,mul1,49.97,47.6,48.79,152122.0,163871.55560445567,-7.72
5,mul2,50.09,47.85,48.97,152574.0,163871.55560445567,-7.4
6,mul3,50.05,47.79,48.92,152576.0,163871.55560445567,-7.4
7,reg_Q0,47.8,47.8,47.8,18551.0,18840.215999817727,-1.56
8,reg_Q1,49.3,49.3,49.3,18720.0,18971.102397531413,-1.34
9,reg_Q2,49.87,49.87,49.87,18790.0,18971.102397531413,-0.96
10,reg_Y,49.8,49.8,49.8,17984.0,18971.102397531413,-5.49
11,zfir_12bit,49.95,49.8,49.8,766600.0,777327.8321930913,-1.4
