,Components,alpha_in,alpha_out,alpha_inout,power [nW]
0,add0,35.34,43.08,37.92,11969.7
1,add1,39.22,45.74,41.39,13045.9
2,add2,40.32,47.01,42.55,13339.7
3,mul0,9.99,35.48,22.74,34507.1
4,mul1,10.0,35.2,22.6,34840.8
5,mul2,9.95,35.36,22.66,34498.5
6,mul3,9.88,34.9,22.39,33928.9
7,reg_Q0,35.48,35.48,35.48,16983.0
8,reg_Q1,43.08,43.08,43.08,17933.0
9,reg_Q2,45.74,45.74,45.74,18265.0
10,reg_Y,47.01,47.01,47.01,17676.0
11,zfir_12bit,9.99,47.01,47.01,258813.0
