,alpha_in,alpha_out,alpha_inout,Power [nW]
0,1.04,7.04,4.038888888888889,4822.033333333334
1,2.08,14.181111111111113,8.128888888888888,9654.887777777776
2,3.11,20.988888888888887,12.052222222222222,13758.966666666667
3,4.15,27.755555555555556,15.953333333333335,18092.48888888889
4,5.19,29.950000000000003,17.567777777777778,21659.333333333336
5,6.23,31.630000000000003,18.927777777777777,24947.055555555555
6,7.260000000000001,33.72999999999999,20.495555555555555,28741.077777777777
7,8.3,35.84111111111112,22.07111111111111,32376.511111111107
8,9.34,36.657777777777774,22.99888888888889,36079.81111111111
9,10.38,37.80111111111111,24.08888888888889,39298.555555555555
10,11.41,38.85666666666667,25.133333333333333,42316.87777777778
11,12.45,39.72666666666666,26.09,46302.25555555555
12,13.28,40.45444444444444,26.86777777777778,49274.9
13,14.11,40.75555555555555,27.433333333333334,51677.17777777778
14,14.940000000000001,41.124444444444435,28.035555555555554,54277.37777777777
15,15.770000000000001,41.61666666666667,28.694444444444443,56770.05555555556
16,16.6,42.24444444444444,29.422222222222224,59662.955555555556
17,17.64,42.40444444444445,30.02,63064.966666666674
18,18.68,42.97222222222222,30.824444444444445,66410.29999999999
19,19.71,43.282222222222224,31.49555555555556,69354.07777777777
20,20.75,43.5,32.126666666666665,72951.42222222223
21,21.79,44.074444444444445,32.93111111111111,76465.16666666667
22,22.83,44.278888888888886,33.55222222222223,79490.56666666667
23,23.86,44.495555555555555,34.18,82655.87777777779
24,24.9,44.736666666666665,34.81666666666666,85922.44444444444
25,25.94,45.10111111111111,35.51888888888888,89528.08888888889
26,26.98,45.18333333333334,36.07888888888888,93218.05555555556
27,28.01,45.385555555555555,36.69888888888889,95544.79999999999
28,29.049999999999997,45.714444444444446,37.38444444444444,99845.56666666667
29,30.09,45.733333333333334,37.91111111111112,102570.77777777778
30,31.130000000000003,45.78666666666666,38.45777777777777,105322.0
31,32.16,46.18,39.17111111111112,109293.88888888889
32,33.2,46.17111111111112,39.68555555555556,112329.33333333333
33,34.03,46.19777777777778,40.111111111111114,115189.33333333333
34,34.86,46.38,40.61777777777778,116794.0
35,35.69,46.60666666666667,41.14888888888888,119492.66666666667
36,36.52,46.656666666666666,41.58777777777778,122657.11111111111
37,37.35,46.83111111111111,42.09222222222222,125654.66666666667
38,38.39,46.80222222222222,42.594444444444456,128899.44444444444
39,39.43,46.73555555555556,43.083333333333336,131710.11111111112
40,40.47,47.09,43.78,135545.33333333334
41,41.5,47.2,44.349999999999994,137844.77777777778
42,42.53,46.95444444444444,44.745555555555555,141157.33333333334
43,43.57,47.28333333333334,45.42999999999999,144255.0
44,44.61,47.32333333333334,45.96777777777778,147191.44444444444
45,45.65,47.724444444444444,46.687777777777775,151057.33333333334
46,46.69,47.428888888888885,47.06,154095.33333333334
47,47.73,47.551111111111105,47.64,157034.88888888888
48,48.77,47.44555555555556,48.105555555555554,160425.11111111112
49,49.8,47.708888888888886,48.754444444444445,163871.55555555556
50,50.83,47.756666666666675,49.29666666666667,166682.33333333334
51,51.87,47.882222222222225,49.878888888888895,170332.0
52,52.91,47.58111111111111,50.24888888888889,173423.0
