Unnamed: 0,Components,alpha_in,alpha_out,alpha_inout,power [nW],est [nW],err_est [%]
0,add0,48.46,49.68,48.87,14753.9,15684.9441448791,-6.31
1,add1,49.05,49.91,49.33,15014.7,15706.78366232738,-4.61
2,add2,49.23,50.05,49.51,15072.8,15705.801877927086,-4.2
3,mul0,65.81,48.46,57.13,198313.0,211141.95407808878,-6.47
4,mul1,65.78,48.47,57.13,198354.0,211141.95407808878,-6.45
5,mul2,65.85,48.42,57.14,198616.0,211141.95407808878,-6.31
6,mul3,65.89,48.56,57.23,198805.0,214681.2206421234,-7.99
7,reg_Q0,48.46,48.46,48.46,18636.0,18840.215999817727,-1.1
8,reg_Q1,49.68,49.68,49.68,18765.0,18971.102397531413,-1.1
9,reg_Q2,49.91,49.91,49.91,18794.0,18971.102397531413,-0.94
10,reg_Y,50.05,50.05,50.05,18010.0,18971.102397531413,-5.34
11,zfir_12bit,65.81,50.05,50.05,962625.0,970958.1357539351,-0.87
