Unnamed: 0,Components,alpha_in,alpha_out,alpha_inout,power [nW],est [nW],err_est [%]
0,add0,35.34,43.08,37.92,11969.7,10882.235563008588,9.09
1,add1,39.22,45.74,41.39,13045.9,12061.590859647278,7.54
2,add2,40.32,47.01,42.55,13339.7,12551.336320698354,5.91
3,mul0,9.99,35.48,22.74,34507.1,35919.39590596312,-4.09
4,mul1,10.0,35.2,22.6,34840.8,35919.39590596312,-3.1
5,mul2,9.95,35.36,22.66,34498.5,35919.39590596312,-4.12
6,mul3,9.88,34.9,22.39,33928.9,35919.39590596312,-5.87
7,reg_Q0,35.48,35.48,35.48,16983.0,17080.093864484585,-0.57
8,reg_Q1,43.08,43.08,43.08,17933.0,18051.450029344986,-0.66
9,reg_Q2,45.74,45.74,45.74,18265.0,18445.812606425636,-0.99
10,reg_Y,47.01,47.01,47.01,17676.0,18577.341621334745,-5.1
11,zfir_12bit,9.99,47.01,47.01,258813.0,251327.44448879667,2.89
