,Components,alpha_in,alpha_out,alpha_inout,power [nW]
0,add0,47.7,49.3,48.23,14657.5
1,add1,48.57,49.87,49.01,14939.3
2,add2,48.83,49.8,49.15,14968.6
3,mul0,49.95,47.8,48.87,151885.0
4,mul1,49.97,47.6,48.79,152122.0
5,mul2,50.09,47.85,48.97,152574.0
6,mul3,50.05,47.79,48.92,152576.0
7,reg_Q0,47.8,47.8,47.8,18551.0
8,reg_Q1,49.3,49.3,49.3,18720.0
9,reg_Q2,49.87,49.87,49.87,18790.0
10,reg_Y,49.8,49.8,49.8,17984.0
11,zfir_12bit,49.95,49.8,49.8,766600.0
