Unnamed: 0,Components,alpha_in,alpha_out,alpha_inout,power [nW],est [nW],err_est [%]
0,add0,48.33,49.59,48.75,20117.2,21282.017798196313,-5.79
1,add1,48.93,49.83,49.23,20374.1,21282.017798196313,-4.46
2,add2,49.07,49.67,49.27,20380.9,21282.017798196313,-4.42
3,mul0,49.94,48.31,49.12,362922.0,365721.36872823106,-0.77
4,mul1,50.03,48.36,49.2,363988.0,365721.36872823106,-0.48
5,mul2,49.94,48.28,49.11,363678.0,365659.16632710054,-0.54
6,mul3,49.98,48.33,49.15,363482.0,365721.36872823106,-0.62
7,reg_Q0,48.31,48.31,48.31,24832.0,25119.713395501414,-1.16
8,reg_Q1,49.59,49.59,49.59,25025.0,25294.62299340156,-1.08
9,reg_Q2,49.83,49.83,49.83,25066.0,25294.62299340156,-0.91
10,reg_Y,49.67,49.67,49.67,23958.0,25294.62299340156,-5.58
11,zfir_8bit,49.94,49.67,49.67,1678400.0,1627672.9082820883,3.02
