Unnamed: 0,Components,alpha_in,alpha_out,alpha_inout,power [nW],est [nW],err_est [%],VL,err_VL [%],area [um2],est_area [um2],est_area_err [%]
0,add0,45.74,48.47,46.65,19493.9,20047.87502,-2.84,13951.2,28.43%,,,
1,add1,47.11,49.16,47.79,19984.2,20492.39087,-2.54,13951.2,30.19%,,,
2,add2,47.46,49.39,48.11,20051.8,20618.57607,-2.83,13951.2,30.42%,,,
3,mul0,25.15,45.76,35.46,188219,187274.8347,0.5,185336,1.53%,,,
4,mul1,24.97,45.72,35.35,185710,182837.5556,1.55,185336,0.20%,,,
5,mul2,25.06,45.75,35.41,185974,187274.8347,-0.7,185336,0.34%,,,
6,mul3,25.03,45.77,35.4,186476,187274.8347,-0.43,185336,0.61%,,,
7,reg_Q0,45.76,45.76,45.76,24396,24594.54601,-0.81,4364.49,82.11%,,,
8,reg_Q1,48.47,48.47,48.47,24834,25119.7134,-1.15,4364.49,82.43%,,,
9,reg_Q2,49.16,49.16,49.16,24949,25119.7134,-0.68,4364.49,82.51%,,,
10,reg_Y,49.39,49.39,49.39,23920,25294.62299,-5.75,4364.49,81.75%,,,
11,zfir_8bit,25.15,49.39,49.39,939771,905949.4975,3.6,,,,,
