,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,Power [nW]
0,1.04,1.04,1.04,1.04,17125.3308
1,2.08,2.08,2.08,2.08,17258.073599999996
2,3.11,3.11,3.11,3.11,17420.9472
3,4.15,4.15,4.15,4.15,17594.642999999996
4,5.19,5.19,5.19,5.19,17769.501600000003
5,6.23,6.23,6.23,6.23,17943.0138
6,7.260000000000001,7.260000000000001,7.260000000000001,7.260000000000001,18118.1274
7,8.3,8.3,8.3,8.3,18293.312400000003
8,9.34,9.34,9.34,9.34,18467.8446
9,10.38,10.38,10.38,10.38,18642.8154
10,11.41,11.41,11.41,11.41,18818.112600000004
11,12.45,12.45,12.45,12.45,18992.9814
12,13.23,13.23,13.23,13.23,19124.3166
13,14.01,14.01,14.01,14.01,19255.356
14,14.779999999999998,14.779999999999998,14.779999999999998,14.779999999999998,19386.446399999997
15,15.559999999999999,15.559999999999999,15.559999999999999,15.559999999999999,19517.791799999995
16,16.6,16.6,16.6,16.6,19692.783000000003
17,17.64,17.64,17.64,17.64,19867.937400000003
18,18.68,18.68,18.68,18.68,20043.061199999996
19,19.71,19.71,19.71,19.71,20217.858600000003
20,20.75,20.75,20.75,20.75,20393.339399999997
21,21.79,21.79,21.79,21.79,20568.0858
22,22.83,22.83,22.83,22.83,20743.2096
23,23.86,23.86,23.86,23.86,20918.221200000004
24,24.9,24.9,24.9,24.9,21093.4368
25,25.94,25.94,25.94,25.94,21268.4484
26,26.98,26.98,26.98,26.98,21443.5314
27,28.01,28.01,28.01,28.01,21618.441
28,29.049999999999997,29.049999999999997,29.049999999999997,29.049999999999997,21793.4934
29,30.09,30.09,30.09,30.09,21968.3418
30,31.130000000000003,31.130000000000003,31.130000000000003,31.130000000000003,22143.547199999997
31,32.16,32.16,32.16,32.16,22318.864799999996
32,33.2,33.2,33.2,33.2,22493.631599999997
33,34.24,34.24,34.24,34.24,22668.826800000003
34,35.01,35.01,35.01,35.01,22799.539800000002
35,35.79,35.79,35.79,35.79,22931.0892
36,36.57,36.57,36.57,36.57,23062.414200000003
37,37.35,37.35,37.35,37.35,23194.0656
38,38.39,38.39,38.39,38.39,23369.1282
39,39.43,39.43,39.43,39.43,23544.1092
40,40.46,40.46,40.46,40.46,23719.3044
41,41.5,41.5,41.5,41.5,23894.285399999997
42,42.54,42.54,42.54,42.54,24069.2358
43,43.58,43.58,43.58,43.58,24244.5228
44,44.61,44.61,44.61,44.61,24419.432399999998
45,45.65,45.65,45.65,45.65,24594.546000000002
46,46.69,46.69,46.69,46.69,24769.618799999997
47,47.73,47.73,47.73,47.73,24944.569199999998
48,48.76,48.76,48.76,48.76,25119.7134
49,49.8,49.8,49.8,49.8,25294.623
50,50.84,50.84,50.84,50.84,25469.8488
51,51.88,51.88,51.88,51.88,25644.839999999997
52,52.91,52.91,52.91,52.91,25820.0658
53,53.95,53.95,53.95,53.95,25995.0264
54,54.99,54.99,54.99,54.99,26170.170599999998
55,56.03,56.03,56.03,56.03,26345.233200000002
56,57.059999999999995,57.059999999999995,57.059999999999995,57.059999999999995,26520.3366
57,58.099999999999994,58.099999999999994,58.099999999999994,58.099999999999994,26695.297199999997
58,59.14,59.14,59.14,59.14,26870.3802
59,60.18,60.18,60.18,60.18,27045.514199999998
60,61.21,61.21,61.21,61.21,27220.525800000003
61,62.25,62.25,62.25,62.25,27395.6394
62,63.03,63.03,63.03,63.03,27526.974599999998
63,63.809999999999995,63.809999999999995,63.809999999999995,63.809999999999995,27658.513799999993
64,64.59,64.59,64.59,64.59,27789.910200000002
65,65.36,65.36,65.36,65.36,27920.766
66,66.4,66.4,66.4,66.4,28095.8694
67,67.44,67.44,67.44,67.44,28270.942199999998
68,68.48,68.48,68.48,68.48,28446.1476
69,69.51,69.51,69.51,69.51,28621.138800000004
70,70.55,70.55,70.55,70.55,28796.150400000002
71,71.59,71.59,71.59,71.59,28971.355800000005
72,72.63,72.63,72.63,72.63,29146.316400000003
73,73.66,73.66,73.66,73.66,29321.43
74,74.7,74.7,74.7,74.7,29496.5742
75,75.74,75.74,75.74,75.74,29671.473599999998
76,76.78,76.78,76.78,76.78,29846.638199999998
77,77.81,77.81,77.81,77.81,30021.772199999996
78,78.85,78.85,78.85,78.85,30196.7634
79,79.89,79.89,79.89,79.89,30371.815799999997
80,80.93,80.93,80.93,80.93,30546.980399999993
81,81.96,81.96,81.96,81.96,30721.910399999997
82,83.0,83.0,83.0,83.0,30896.983200000002
83,84.04,84.04,84.04,84.04,31072.188599999998
84,84.81,84.81,84.81,84.81,31203.023999999998
85,85.59,85.59,85.59,85.59,31334.4306
86,86.37,86.37,86.37,86.37,31465.8678
87,87.15,87.15,87.15,87.15,31597.356000000003
88,88.19,88.19,88.19,88.19,31772.4186
89,89.23,89.23,89.23,89.23,31947.4812
90,90.26,90.26,90.26,90.26,32122.5948
91,91.3,91.3,91.3,91.3,32297.616599999994
92,92.34,92.34,92.34,92.34,32472.699599999996
93,93.38,93.38,93.38,93.38,32647.833599999998
94,94.41,94.41,94.41,94.41,32822.824799999995
95,95.45,95.45,95.45,95.45,32997.88740000001
96,96.49,96.49,96.49,96.49,33173.0418
97,97.53,97.53,97.53,97.53,33348.0738
98,98.56,98.56,98.56,98.56,33523.1568
99,99.6,99.6,99.6,99.6,33698.311200000004
