Unnamed: 0,Components,alpha_in,alpha_out,alpha_inout,power [nW],est [nW],err_est [%],VL,err_VL [%],area [um2],est_area [um2],est_area_err [%]
0,add0,38.36,44.73,40.48,17167.1,16474.58418,4.03,13951.2,18.73%,,,
1,add1,41.54,46.73,43.27,18367.2,17308.19166,5.77,13951.2,24.04%,,,
2,add2,42.49,47.89,44.29,18741.1,18539.8445,1.07,13951.2,25.56%,,,
3,mul0,10,39.34,24.17,78075.5,79975.30753,-2.43,185336,-137.38%,,,
4,mul1,9.94,39.38,24.16,77898.8,79975.30753,-2.67,185336,-137.92%,,,
5,mul2,9.97,39.35,24.16,78154.5,79975.30753,-2.33,185336,-137.14%,,,
6,mul3,10,39.25,24.13,78589.6,79975.30753,-1.76,185336,-135.83%,,,
7,reg_Q0,38.34,38.34,38.34,23131,23369.12829,-1.03,4364.49,81.13%,,,
8,reg_Q1,44.73,44.73,44.73,24201,24419.43242,-0.9,4364.49,81.97%,,,
9,reg_Q2,46.73,46.73,46.73,24538,24769.6188,-0.94,4364.49,82.21%,,,
10,reg_Y,47.89,47.89,47.89,23702,25119.7134,-5.98,4364.49,81.59%,,,
11,zfir_8bit,10,47.89,47.89,480929,469901.7434,2.29,,,,,
