Unnamed: 0,Components,alpha_in,alpha_out,alpha_inout,power [nW],est [nW],err_est [%]
0,add0,49.6,50.58,49.93,20422.1,21504.443050988124,-5.3
1,add1,50.1,49.76,49.99,20632.3,21526.843624383255,-4.34
2,add2,49.7,50.15,49.85,20627.1,21512.8592086878,-4.29
3,mul0,90.02,49.72,69.87,647402.0,655572.0931829255,-1.26
4,mul1,89.99,49.48,69.74,647206.0,652163.4616475351,-0.77
5,mul2,89.95,49.63,69.79,647208.0,652163.4616475351,-0.77
6,mul3,89.93,49.63,69.78,646553.0,652163.4616475351,-0.87
7,reg_Q0,49.72,49.72,49.72,25077.0,25294.62299340156,-0.87
8,reg_Q1,50.58,50.58,50.58,25190.0,25469.84878804506,-1.11
9,reg_Q2,49.76,49.76,49.76,25056.0,25294.62299340156,-0.95
10,reg_Y,50.15,50.15,50.15,24030.0,25294.62299340156,-5.26
11,zfir_8bit,90.02,50.15,50.15,2860330.0,2777960.34177784,2.88
