Unnamed: 0,Components,alpha_in,alpha_out,alpha_inout,power [nW],est [nW],err_est [%]
0,add0,49.38,49.96,49.57,31081.4,32987.26934213627,-6.13
1,add1,49.66,50.05,49.79,31370.8,33448.609938818256,-6.62
2,add2,49.75,50.07,49.86,31420.9,33448.609938818256,-6.45
3,mul0,74.98,49.4,62.19,1586290.0,1623856.6558929577,-2.37
4,mul1,74.96,49.36,62.16,1586540.0,1623856.6558929577,-2.35
5,mul2,74.95,49.37,62.16,1583810.0,1623856.6558929577,-2.53
6,mul3,75.02,49.46,62.24,1585890.0,1623856.6859879412,-2.39
7,reg_Q0,49.4,49.4,49.4,37513.0,37942.235372173105,-1.14
8,reg_Q1,49.96,49.96,49.96,37627.0,37942.235372173105,-0.84
9,reg_Q2,50.05,50.05,50.05,37648.0,37942.235372173105,-0.78
10,reg_Y,50.07,50.07,50.07,36023.0,37942.235372173105,-5.33
11,zfir_24bit,74.98,50.07,50.07,6755350.0,6747080.084375278,0.12
