,Components,alpha_in,alpha_out,alpha_inout,power [nW]
0,add0,47.21,49.01,47.81,30377.4
1,add1,48.05,49.48,48.53,30814.1
2,add2,48.34,49.69,48.79,30910.6
3,mul0,25.0,47.23,36.12,540467.0
4,mul1,24.98,47.19,36.08,541580.0
5,mul2,24.98,47.1,36.04,538876.0
6,mul3,24.89,47.21,36.05,537994.0
7,reg_Q0,47.23,47.23,47.23,36957.0
8,reg_Q1,49.01,49.01,49.01,37384.0
9,reg_Q2,49.48,49.48,49.48,37503.0
10,reg_Y,49.69,49.69,49.69,35942.0
11,zfir_24bit,25.0,49.69,49.69,2462310.0
