Unnamed: 0,Components,alpha_in,alpha_out,alpha_inout,power [nW],est [nW],err_est [%]
0,add0,49.61,50.11,49.78,31149.9,33448.609938818256,-7.38
1,add1,49.91,49.78,49.87,31394.3,32987.26934213627,-5.07
2,add2,49.73,49.99,49.81,31401.5,32987.26934213627,-5.05
3,mul0,89.95,49.63,69.79,1899500.0,1955577.28307801,-2.95
4,mul1,89.98,49.6,69.79,1898970.0,1955562.96579658,-2.98
5,mul2,89.96,49.72,69.84,1899210.0,1955576.805671195,-2.97
6,mul3,89.96,49.68,69.82,1898540.0,1955576.805671195,-3.0
7,reg_Q0,49.63,49.63,49.63,37575.0,37942.235372173105,-0.98
8,reg_Q1,50.11,50.11,50.11,37663.0,37942.235372173105,-0.74
9,reg_Q2,49.78,49.78,49.78,37579.0,37942.235372173105,-0.97
10,reg_Y,49.99,49.99,49.99,36007.0,37942.235372173105,-5.37
11,zfir_24bit,89.95,49.99,49.99,8040930.0,8073485.950328762,-0.4
