Unnamed: 0,Components,alpha_in,alpha_out,alpha_inout,power [nW],est [nW],err_est [%]
0,add0,42.05,46.47,43.52,27931.4,25774.76797474502,7.72
1,add1,44.14,47.88,45.38,29134.9,27072.407702880162,7.08
2,add2,44.91,48.64,46.15,29548.2,27727.680406040527,6.16
3,mul0,10.05,42.1,26.07,224285.0,230050.12660346023,-2.57
4,mul1,10.03,42.01,26.02,221939.0,230050.12660346023,-3.65
5,mul2,10.02,41.81,25.92,221833.0,218115.33585004252,1.68
6,mul3,9.99,41.94,25.97,222543.0,230050.12660346023,-3.37
7,reg_Q0,42.1,42.1,42.1,35642.0,36103.389725731075,-1.29
8,reg_Q1,46.47,46.47,46.47,36739.0,37154.428204287906,-1.13
9,reg_Q2,47.88,47.88,47.88,37095.0,37679.85058971905,-1.58
10,reg_Y,48.64,48.64,48.64,35716.0,37679.85058971905,-5.5
11,zfir_24bit,10.05,48.64,48.64,1153840.0,1137458.090853546,1.42
