,Components,alpha_in,alpha_out,alpha_inout,power [nW]
0,add0,46.85,41.65,45.12,27555.8
1,add1,45.81,56.22,49.28,30807.3
2,add2,55.18,52.05,54.13,33352.2
3,mul0,99.96,41.65,70.81,2104620.0
4,mul1,99.96,52.06,76.01,2106850.0
5,mul2,99.96,49.98,74.97,2106400.0
6,mul3,99.96,54.15,77.05,2107430.0
7,reg_Q0,41.65,41.65,41.65,36352.0
8,reg_Q1,41.65,41.65,41.65,36335.0
9,reg_Q2,56.22,56.22,56.22,39861.0
10,reg_Y,52.05,52.05,52.05,36543.0
11,zfir_24bit,99.96,52.05,52.05,8889460.0
