,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,Power [nW]
0,1.04,1.04,1.04,1.04,25648.389600000002
1,2.08,2.08,2.08,2.08,25868.587199999994
2,3.11,3.11,3.11,3.11,26130.2172
3,4.15,4.15,4.15,4.15,26390.6436
4,5.19,5.19,5.19,5.19,26652.8142
5,6.23,6.23,6.23,6.23,26914.546200000004
6,7.260000000000001,7.260000000000001,7.260000000000001,7.260000000000001,27178.216200000003
7,8.3,8.3,8.3,8.3,27439.325999999997
8,9.34,9.34,9.34,9.34,27701.863799999996
9,10.38,10.38,10.38,10.38,27963.667199999996
10,11.41,11.41,11.41,11.41,28226.8884
11,12.45,12.45,12.45,12.45,28489.3038
12,13.14,13.14,13.14,13.14,28664.325600000004
13,13.83,13.83,13.83,13.83,28839.347400000002
14,14.529999999999998,14.529999999999998,14.529999999999998,14.529999999999998,29014.114199999996
15,15.559999999999999,15.559999999999999,15.559999999999999,15.559999999999999,29277.253800000002
16,16.6,16.6,16.6,16.6,29539.761000000002
17,17.64,17.64,17.64,17.64,29801.8602
18,18.68,18.68,18.68,18.68,30064.551
19,19.71,19.71,19.71,19.71,30327.109200000006
20,20.75,20.75,20.75,20.75,30589.555200000003
21,21.79,21.79,21.79,21.79,30851.7666
22,22.83,22.83,22.83,22.83,31114.763399999993
23,23.86,23.86,23.86,23.86,31377.637799999993
24,24.9,24.9,24.9,24.9,31639.941000000006
25,25.94,25.94,25.94,25.94,31902.142200000002
26,26.98,26.98,26.98,26.98,32165.128799999995
27,28.01,28.01,28.01,28.01,32427.799199999994
28,29.049999999999997,29.049999999999997,29.049999999999997,29.049999999999997,32690.214599999996
29,30.09,30.09,30.09,30.09,32952.3648
30,31.130000000000003,31.130000000000003,31.130000000000003,31.130000000000003,33215.5758
31,32.16,32.16,32.16,32.16,33478.1646
32,33.2,33.2,33.2,33.2,33740.4678
33,34.24,34.24,34.24,34.24,34003.372800000005
34,35.28,35.28,35.28,35.28,34265.7168
35,35.97,35.97,35.97,35.97,34440.7488
36,36.66,36.66,36.66,36.66,34615.9746
37,37.35,37.35,37.35,37.35,34791.067800000004
38,38.39,38.39,38.39,38.39,35053.7178
39,39.43,39.43,39.43,39.43,35316.1128
40,40.46,40.46,40.46,40.46,35578.977
41,41.5,41.5,41.5,41.5,35841.3312
42,42.54,42.54,42.54,42.54,36103.389599999995
43,43.58,43.58,43.58,43.58,36366.539399999994
44,44.61,44.61,44.61,44.61,36629.2506
45,45.65,45.65,45.65,45.65,36891.6864
46,46.69,46.69,46.69,46.69,37154.4282
47,47.73,47.73,47.73,47.73,37416.9864
48,48.76,48.76,48.76,48.76,37679.850600000005
49,49.8,49.8,49.8,49.8,37942.2354
50,50.84,50.84,50.84,50.84,38204.4672
51,51.88,51.88,51.88,51.88,38467.39260000001
52,52.91,52.91,52.91,52.91,38730.256799999996
53,53.95,53.95,53.95,53.95,38992.60080000001
54,54.99,54.99,54.99,54.99,39255.465000000004
55,56.03,56.03,56.03,56.03,39517.8396
56,57.059999999999995,57.059999999999995,57.059999999999995,57.059999999999995,39780.6324
57,58.099999999999994,58.099999999999994,58.099999999999994,58.099999999999994,40043.2008
58,59.14,59.14,59.14,59.14,40305.248999999996
59,60.18,60.18,60.18,60.18,40568.358
60,60.86999999999999,60.86999999999999,60.86999999999999,60.86999999999999,40743.2676
61,61.559999999999995,61.559999999999995,61.559999999999995,61.559999999999995,40918.330200000004
62,62.25,62.25,62.25,62.25,41093.44380000001
63,63.29,63.29,63.29,63.29,41356.257
64,64.33,64.33,64.33,64.33,41618.6826
65,65.36,65.36,65.36,65.36,41881.4958
66,66.4,66.4,66.4,66.4,42143.9724
67,67.44,67.44,67.44,67.44,42406.7244
68,68.48,68.48,68.48,68.48,42669.048
69,69.51,69.51,69.51,69.51,42931.402200000004
70,70.55,70.55,70.55,70.55,43194.3378
71,71.59,71.59,71.59,71.59,43457.1102
72,72.63,72.63,72.63,72.63,43719.586800000005
73,73.66,73.66,73.66,73.66,43982.298
74,74.7,74.7,74.7,74.7,44244.795
75,75.74,75.74,75.74,75.74,44507.506199999996
76,76.78,76.78,76.78,76.78,44769.993
77,77.81,77.81,77.81,77.81,45032.8062
78,78.85,78.85,78.85,78.85,45295.2828
79,79.89,79.89,79.89,79.89,45558.01439999999
80,80.93,80.93,80.93,80.93,45820.4604
81,81.96,81.96,81.96,81.96,46083.232800000005
82,83.0,83.0,83.0,83.0,46345.6686
83,84.04,84.04,84.04,84.04,46608.4002
84,85.08,85.08,85.08,85.08,46870.8666
85,85.77,85.77,85.77,85.77,47045.8578
86,86.46,86.46,86.46,86.46,47220.9612
87,87.15,87.15,87.15,87.15,47396.095199999996
88,88.19,88.19,88.19,88.19,47658.8676
89,89.23,89.23,89.23,89.23,47921.334
90,90.26,90.26,90.26,90.26,48184.065599999994
91,91.3,91.3,91.3,91.3,48446.542199999996
92,92.34,92.34,92.34,92.34,48709.273799999995
93,93.38,93.38,93.38,93.38,48971.760599999994
94,94.41,94.41,94.41,94.41,49234.4922
95,95.45,95.45,95.45,95.45,49496.9688
96,96.49,96.49,96.49,96.49,49759.731
97,97.53,97.53,97.53,97.53,50022.20760000001
98,98.56,98.56,98.56,98.56,50284.9188
99,99.6,99.6,99.6,99.6,50547.466799999995
