Unnamed: 0,Components,alpha_in,alpha_out,alpha_inout,power [nW],est [nW],err_est [%]
0,add0,47.21,49.01,47.81,30377.4,29036.657199841007,4.41
1,add1,48.05,49.48,48.53,30814.1,30642.344457090152,0.56
2,add2,48.34,49.69,48.79,30910.6,32481.10312421056,-5.08
3,mul0,25.0,47.23,36.12,540467.0,578987.0237726585,-7.13
4,mul1,24.98,47.19,36.08,541580.0,578987.0237726585,-6.91
5,mul2,24.98,47.1,36.04,538876.0,578987.0237726585,-7.44
6,mul3,24.89,47.21,36.05,537994.0,556446.9905061008,-3.43
7,reg_Q0,47.23,47.23,47.23,36957.0,37154.428204287906,-0.53
8,reg_Q1,49.01,49.01,49.01,37384.0,37679.85058971905,-0.79
9,reg_Q2,49.48,49.48,49.48,37503.0,37942.235372173105,-1.17
10,reg_Y,49.69,49.69,49.69,35942.0,37942.235372173105,-5.57
11,zfir_24bit,25.0,49.69,49.69,2462310.0,2536286.9161435715,-3.0
