Unnamed: 0,Components,alpha_in,alpha_out,alpha_inout,power [nW],est [nW],err_est [%]
0,add0,49.19,49.97,49.45,31021.5,32481.10312421056,-4.71
1,add1,49.6,50.04,49.75,31345.3,33448.609938818256,-6.71
2,add2,49.62,50.01,49.75,31351.0,32987.26934213627,-5.22
3,mul0,65.74,49.21,57.48,1395400.0,1425286.660872099,-2.14
4,mul1,65.76,49.16,57.46,1395050.0,1425286.660872099,-2.17
5,mul2,65.77,49.24,57.5,1397190.0,1425286.660872099,-2.01
6,mul3,65.79,49.2,57.49,1395400.0,1425286.660872099,-2.14
7,reg_Q0,49.21,49.21,49.21,37464.0,37679.85058971905,-0.58
8,reg_Q1,49.97,49.97,49.97,37631.0,37942.235372173105,-0.83
9,reg_Q2,50.04,50.04,50.04,37646.0,37942.235372173105,-0.79
10,reg_Y,50.01,50.01,50.01,36014.0,37942.235372173105,-5.35
11,zfir_24bit,65.74,50.01,50.01,5976040.0,5951570.182599798,0.41
