,Components,alpha_in,alpha_out,alpha_inout,power [nW]
0,add0,47.01,48.72,47.58,30212.0
1,add1,47.87,49.35,48.36,30692.2
2,add2,48.22,49.46,48.64,30786.2
3,mul0,25.06,47.04,36.05,536526.0
4,mul1,25.03,46.99,36.01,537370.0
5,mul2,24.95,47.02,35.99,535118.0
6,mul3,25.11,47.11,36.11,539322.0
7,reg_Q0,47.04,47.04,47.04,36910.0
8,reg_Q1,48.72,48.72,48.72,37314.0
9,reg_Q2,49.35,49.35,49.35,37472.0
10,reg_Y,49.46,49.46,49.46,35891.0
11,zfir_24bit,25.06,49.46,49.46,2451140.0
