,Components,alpha_in,alpha_out,alpha_inout,power [nW]
0,add0,68.72,62.47,66.64,37592.5
1,add1,62.47,56.22,60.38,37693.8
2,add2,49.97,54.13,51.36,31942.9
3,mul0,99.96,64.56,82.26,2110170.0
4,mul1,99.96,72.89,86.42,2112680.0
5,mul2,99.96,62.48,81.22,2110090.0
6,mul3,99.96,43.73,71.85,2105070.0
7,reg_Q0,64.56,64.56,64.56,41813.0
8,reg_Q1,62.47,62.47,62.47,41346.0
9,reg_Q2,56.22,56.22,56.22,39849.0
10,reg_Y,54.13,54.13,54.13,36996.0
11,zfir_24bit,99.96,54.13,54.13,8928600.0
