,Components,alpha_in,alpha_out,alpha_inout,power [nW]
0,add0,49.42,49.83,49.56,31053.0
1,add1,49.61,49.88,49.7,31333.2
2,add2,49.63,49.96,49.74,31338.6
3,mul0,74.94,49.36,62.15,1585280.0
4,mul1,74.86,49.49,62.17,1585000.0
5,mul2,75.03,49.39,62.21,1588740.0
6,mul3,74.99,49.38,62.19,1588920.0
7,reg_Q0,49.36,49.36,49.36,37499.0
8,reg_Q1,49.83,49.83,49.83,37593.0
9,reg_Q2,49.88,49.88,49.88,37606.0
10,reg_Y,49.96,49.96,49.96,36007.0
11,zfir_24bit,74.94,49.96,49.96,6760400.0
