,Components,alpha_in,alpha_out,alpha_inout,power [nW]
0,add0,46.34,48.44,47.04,29948.9
1,add1,47.39,49.06,47.94,30496.0
2,add2,47.62,49.57,48.27,30663.2
3,mul0,19.93,46.3,33.12,431920.0
4,mul1,19.99,46.39,33.19,433537.0
5,mul2,19.96,46.34,33.15,434074.0
6,mul3,19.97,46.19,33.08,433407.0
7,reg_Q0,46.3,46.3,46.3,36715.0
8,reg_Q1,48.44,48.44,48.44,37243.0
9,reg_Q2,49.06,49.06,49.06,37395.0
10,reg_Y,49.57,49.57,49.57,35918.0
11,zfir_24bit,19.93,49.57,49.57,2024080.0
