,Components,alpha_in,alpha_out,alpha_inout,power [nW]
0,add0,49.16,49.84,49.38,30993.3
1,add1,49.51,50.03,49.68,31319.7
2,add2,49.59,50.11,49.76,31372.4
3,mul0,65.82,49.27,57.55,1396880.0
4,mul1,65.79,49.05,57.42,1392170.0
5,mul2,65.84,49.19,57.51,1395990.0
6,mul3,65.84,49.15,57.5,1398840.0
7,reg_Q0,49.27,49.27,49.27,37482.0
8,reg_Q1,49.84,49.84,49.84,37593.0
9,reg_Q2,50.03,50.03,50.03,37647.0
10,reg_Y,50.11,50.11,50.11,36032.0
11,zfir_24bit,65.82,50.11,50.11,5976830.0
