,Components,alpha_in,alpha_out,alpha_inout,power [nW]
0,add0,48.06,49.32,48.48,30668.9
1,add1,48.68,49.66,49.01,30972.3
2,add2,48.84,49.79,49.16,31010.8
3,mul0,33.36,48.08,40.72,713323.0
4,mul1,33.43,48.05,40.74,714550.0
5,mul2,33.25,48.04,40.65,711880.0
6,mul3,33.26,48.03,40.64,711647.0
7,reg_Q0,48.08,48.08,48.08,37174.0
8,reg_Q1,49.32,49.32,49.32,37472.0
9,reg_Q2,49.66,49.66,49.66,37548.0
10,reg_Y,49.79,49.79,49.79,35967.0
11,zfir_24bit,33.36,49.79,49.79,3173510.0
