,Power [nW]
0,6637.553759009025
1,7285.559423185925
2,7737.552456189243
3,8512.989161864096
4,9222.36410126399
5,9290.957867197672
6,9590.737992725359
7,10113.460248825742
8,10209.064964934685
9,9929.4614077891
10,10190.577068085624
11,10209.064964934685
12,10204.064187706665
13,10190.577068085624
14,10204.064187706665
15,10204.100500724602
16,10340.26989534523
17,10353.757014966272
