,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,47.08,49.22,47.79,47.79,9292.26
1,add1,48.05,49.97,48.69,48.69,9546.92
2,add2,48.57,49.86,49.0,49.0,9605.53
3,mul0,55.16,47.13,51.15,45.64,49696.9
4,mul1,54.95,47.03,50.99,45.5,49428.2
5,mul2,54.96,46.89,50.93,45.44,49529.7
6,mul3,55.06,47.17,51.11,45.63,49768.9
7,reg_Q0,47.13,47.13,47.13,47.13,12318.0
8,reg_Q1,49.22,49.22,49.22,49.22,12468.0
9,reg_Q2,49.97,49.97,49.97,49.97,12531.0
10,reg_Y,49.86,49.86,49.86,49.86,11993.0
11,zfir_8bit,55.16,49.86,49.86,49.86,298992.0
