,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,49.06,51.14,49.76,49.76,9535.79
1,add1,50.12,49.73,49.99,49.99,9741.94
2,add2,49.31,50.31,49.64,49.64,9749.53
3,mul0,89.98,48.94,69.46,60.47,78258.2
4,mul1,89.93,49.18,69.56,60.56,78280.4
5,mul2,90.02,49.1,69.56,60.56,78321.1
6,mul3,89.86,48.9,69.38,60.4,78068.8
7,reg_Q0,48.94,48.94,48.94,48.94,12474.0
8,reg_Q1,51.14,51.14,51.14,51.14,12629.0
9,reg_Q2,49.73,49.73,49.73,49.73,12513.0
10,reg_Y,50.31,50.31,50.31,50.31,12027.0
11,zfir_8bit,89.98,50.31,50.31,50.31,426732.0
