,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,30.3,40.19,33.6,33.6,6890.72
1,add1,35.33,44.19,38.28,38.28,7873.51
2,add2,37.18,45.64,40.0,40.0,8157.05
3,mul0,9.97,30.54,20.25,19.26,11330.1
4,mul1,9.91,30.07,19.99,19.0,11102.3
5,mul2,10.01,30.48,20.25,19.24,11310.0
6,mul3,9.94,30.18,20.06,19.06,11136.3
7,reg_Q0,30.54,30.54,30.54,30.54,10910.0
8,reg_Q1,40.19,40.19,40.19,40.19,11707.0
9,reg_Q2,44.19,44.19,44.19,44.19,12044.0
10,reg_Y,45.64,45.64,45.64,45.64,11685.0
11,zfir_8bit,9.97,45.64,45.64,45.64,121056.0
