,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,30.34,40.19,33.62,33.62,6887.42
1,add1,35.12,43.8,38.01,38.01,7811.41
2,add2,37.09,45.73,39.97,39.97,8149.48
3,mul0,10.02,30.21,20.11,19.11,11218.3
4,mul1,10.01,30.47,20.24,19.24,11473.6
5,mul2,10.0,30.05,20.03,19.03,11217.5
6,mul3,10.05,30.38,20.22,19.22,11386.9
7,reg_Q0,30.21,30.21,30.21,30.21,10884.0
8,reg_Q1,40.19,40.19,40.19,40.19,11711.0
9,reg_Q2,43.8,43.8,43.8,43.8,12010.0
10,reg_Y,45.73,45.73,45.73,45.73,11692.0
11,zfir_8bit,10.02,45.73,45.73,45.73,121368.0
