,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,30.32,40.42,33.68,33.68,6900.9
1,add1,35.3,43.96,38.19,38.19,7842.42
2,add2,37.15,45.75,40.01,40.01,8156.84
3,mul0,10.03,30.27,20.15,19.14,11278.5
4,mul1,9.9,30.37,20.14,19.13,11318.3
5,mul2,9.96,30.2,20.08,19.07,11266.7
6,mul3,9.96,30.34,20.15,19.14,11326.7
7,reg_Q0,30.27,30.27,30.27,30.27,10888.0
8,reg_Q1,40.42,40.42,40.42,40.42,11728.0
9,reg_Q2,43.96,43.96,43.96,43.96,12023.0
10,reg_Y,45.75,45.75,45.75,45.75,11692.0
11,zfir_8bit,10.03,45.75,45.75,45.75,121335.0
