,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,19.38,30.21,22.99,22.99,4775.91
1,add1,25.01,36.42,28.81,28.81,6036.84
2,add2,27.99,39.81,31.93,31.93,6645.93
3,mul0,4.97,19.18,12.08,11.57,5820.46
4,mul1,4.94,19.58,12.26,11.76,6000.44
5,mul2,5.03,19.81,12.42,11.91,6093.56
6,mul3,4.93,19.57,12.25,11.75,6024.97
7,reg_Q0,19.18,19.18,19.18,19.18,9953.0
8,reg_Q1,30.21,30.21,30.21,30.21,10867.0
9,reg_Q2,36.42,36.42,36.42,36.42,11388.0
10,reg_Y,39.81,39.81,39.81,39.81,11261.0
11,zfir_8bit,4.97,39.81,39.81,39.81,90012.8
