,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,49.26,50.84,49.79,49.79,9558.38
1,add1,49.96,49.75,49.89,49.89,9739.86
2,add2,49.33,50.17,49.61,49.61,9746.26
3,mul0,89.94,49.2,69.57,60.57,78330.8
4,mul1,89.93,49.33,69.63,60.64,78380.9
5,mul2,89.85,49.09,69.47,60.48,78384.6
6,mul3,89.94,48.91,69.42,60.42,78187.0
7,reg_Q0,49.2,49.2,49.2,49.2,12494.0
8,reg_Q1,50.84,50.84,50.84,50.84,12604.0
9,reg_Q2,49.75,49.75,49.75,49.75,12514.0
10,reg_Y,50.17,50.17,50.17,50.17,12017.0
11,zfir_8bit,89.94,50.17,50.17,50.17,427081.0
