,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,30.12,40.36,33.53,33.53,6882.56
1,add1,35.29,43.88,38.15,38.15,7833.66
2,add2,37.12,46.02,40.09,40.09,8184.72
3,mul0,9.89,30.02,19.95,18.96,11329.4
4,mul1,9.91,30.23,20.07,19.08,11354.2
5,mul2,10.01,30.22,20.11,19.1,11374.0
6,mul3,9.96,30.38,20.17,19.17,11413.1
7,reg_Q0,30.02,30.02,30.02,30.02,10867.0
8,reg_Q1,40.36,40.36,40.36,40.36,11724.0
9,reg_Q2,43.88,43.88,43.88,43.88,12017.0
10,reg_Y,46.02,46.02,46.02,46.02,11714.0
11,zfir_8bit,9.89,46.02,46.02,46.02,121592.0
