,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,20.02,30.9,23.64,23.64,4914.28
1,add1,25.46,36.7,29.21,29.21,6117.35
2,add2,28.15,40.36,32.22,32.22,6710.38
3,mul0,4.97,19.94,12.45,11.95,6204.86
4,mul1,5.02,20.1,12.56,12.06,6377.96
5,mul2,5.02,20.03,12.53,12.02,6369.59
6,mul3,5.01,19.6,12.3,11.8,6158.21
7,reg_Q0,19.94,19.94,19.94,19.94,10010.0
8,reg_Q1,30.9,30.9,30.9,30.9,10924.0
9,reg_Q2,36.7,36.7,36.7,36.7,11414.0
10,reg_Y,40.36,40.36,40.36,40.36,11301.0
11,zfir_8bit,4.97,40.36,40.36,40.36,91655.5
