,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,44.33,47.86,45.51,45.51,9004.85
1,add1,46.05,49.0,47.04,47.04,9279.31
2,add2,46.56,49.28,47.47,47.47,9348.01
3,mul0,33.26,44.32,38.79,35.49,31802.5
4,mul1,33.17,44.35,38.76,35.44,31706.6
5,mul2,33.16,44.26,38.71,35.4,31656.0
6,mul3,33.4,44.12,38.76,35.43,31710.2
7,reg_Q0,44.32,44.32,44.32,44.32,12079.0
8,reg_Q1,47.86,47.86,47.86,47.86,12355.0
9,reg_Q2,49.0,49.0,49.0,49.0,12449.0
10,reg_Y,49.28,49.28,49.28,49.28,11950.0
11,zfir_8bit,33.26,49.28,49.28,49.28,218467.0
