,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,41.96,46.86,43.6,43.6,8712.0
1,add1,44.42,48.24,45.69,45.69,9115.74
2,add2,45.13,48.87,46.38,46.38,9210.56
3,mul0,25.13,41.95,33.54,31.02,24996.7
4,mul1,25.03,41.98,33.5,31.0,24748.5
5,mul2,25.06,41.98,33.52,31.02,24921.1
6,mul3,25.16,42.02,33.59,31.07,24986.2
7,reg_Q0,41.95,41.95,41.95,41.95,11877.0
8,reg_Q1,46.86,46.86,46.86,46.86,12271.0
9,reg_Q2,48.24,48.24,48.24,48.24,12384.0
10,reg_Y,48.87,48.87,48.87,48.87,11922.0
11,zfir_8bit,25.13,48.87,48.87,48.87,187389.0
