,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,40.61,74.96,52.06,52.06,11256.4
1,add1,56.22,56.22,56.22,56.22,11035.4
2,add2,40.6,62.46,47.89,47.89,9270.38
3,mul0,99.96,43.73,71.85,61.85,86384.3
4,mul1,99.96,37.49,68.72,58.73,85393.6
5,mul2,99.96,37.49,68.72,58.73,85839.1
6,mul3,99.96,24.99,62.48,52.48,84447.1
7,reg_Q0,43.73,43.73,43.73,43.73,12269.0
8,reg_Q1,74.96,74.96,74.96,74.96,14790.0
9,reg_Q2,56.22,56.22,56.22,56.22,13316.0
10,reg_Y,62.46,62.46,62.46,62.46,12936.0
11,zfir_8bit,99.96,62.46,62.46,62.46,465597.0
