,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,48.28,49.83,48.8,48.8,9405.14
1,add1,48.92,49.87,49.24,49.24,9638.38
2,add2,49.05,49.8,49.3,49.3,9671.73
3,mul0,74.85,48.3,61.57,54.09,65966.0
4,mul1,74.99,48.27,61.63,54.13,66086.6
5,mul2,74.84,48.02,61.43,53.94,65963.0
6,mul3,74.89,48.24,61.56,54.07,65994.0
7,reg_Q0,48.3,48.3,48.3,48.3,12416.0
8,reg_Q1,49.83,49.83,49.83,49.83,12521.0
9,reg_Q2,49.87,49.87,49.87,49.87,12524.0
10,reg_Y,49.8,49.8,49.8,49.8,11989.0
11,zfir_8bit,74.85,49.8,49.8,49.8,371996.0
