,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,46.7,49.1,47.5,47.5,9259.27
1,add1,47.84,49.63,48.44,48.44,9498.06
2,add2,48.13,49.81,48.69,48.69,9565.68
3,mul0,50.07,46.74,48.41,43.41,45413.2
4,mul1,49.82,46.66,48.24,43.25,45124.3
5,mul2,49.86,46.59,48.22,43.23,45554.5
6,mul3,50.08,46.62,48.35,43.34,45565.8
7,reg_Q0,46.74,46.74,46.74,46.74,12285.0
8,reg_Q1,49.1,49.1,49.1,49.1,12463.0
9,reg_Q2,49.63,49.63,49.63,49.63,12500.0
10,reg_Y,49.81,49.81,49.81,49.81,11988.0
11,zfir_8bit,50.07,49.81,49.81,49.81,280238.0
