,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,46.59,48.74,47.31,47.31,9230.39
1,add1,47.76,49.58,48.37,48.37,9495.36
2,add2,48.03,50.08,48.71,48.71,9558.68
3,mul0,50.15,46.68,48.41,43.41,45532.1
4,mul1,50.09,46.51,48.3,43.29,45655.1
5,mul2,49.94,46.79,48.37,43.38,45492.3
6,mul3,49.92,46.48,48.2,43.21,45523.3
7,reg_Q0,46.68,46.68,46.68,46.68,12279.0
8,reg_Q1,48.74,48.74,48.74,48.74,12428.0
9,reg_Q2,49.58,49.58,49.58,49.58,12499.0
10,reg_Y,50.08,50.08,50.08,50.08,12011.0
11,zfir_8bit,50.15,50.08,50.08,50.08,280747.0
