,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,44.49,47.93,45.64,45.64,9026.59
1,add1,46.2,48.96,47.12,47.12,9289.13
2,add2,46.62,49.53,47.59,47.59,9366.65
3,mul0,33.23,44.52,38.88,35.57,31590.2
4,mul1,33.27,44.47,38.87,35.55,31587.1
5,mul2,33.26,44.46,38.86,35.55,31543.3
6,mul3,33.28,44.29,38.78,35.47,31656.3
7,reg_Q0,44.52,44.52,44.52,44.52,12095.0
8,reg_Q1,47.93,47.93,47.93,47.93,12362.0
9,reg_Q2,48.96,48.96,48.96,48.96,12445.0
10,reg_Y,49.53,49.53,49.53,49.53,11968.0
11,zfir_8bit,33.23,49.53,49.53,49.53,218061.0
