,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,49.16,50.82,49.71,49.71,9505.69
1,add1,49.85,49.78,49.83,49.83,9727.32
2,add2,49.51,50.32,49.78,49.78,9773.43
3,mul0,90.05,49.24,69.64,60.64,78429.5
4,mul1,90.01,49.09,69.55,60.55,78265.2
5,mul2,89.91,48.88,69.39,60.41,78243.3
6,mul3,90.01,49.24,69.63,60.63,78260.1
7,reg_Q0,49.24,49.24,49.24,49.24,12497.0
8,reg_Q1,50.82,50.82,50.82,50.82,12600.0
9,reg_Q2,49.78,49.78,49.78,49.78,12518.0
10,reg_Y,50.32,50.32,50.32,50.32,12029.0
11,zfir_8bit,90.05,50.32,50.32,50.32,426998.0
