,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,48.13,50.0,48.75,48.75,9391.06
1,add1,49.08,49.71,49.29,49.29,9652.98
2,add2,49.03,49.8,49.28,49.28,9656.27
3,mul0,74.94,48.13,61.54,54.05,65983.3
4,mul1,74.98,48.13,61.55,54.06,65989.2
5,mul2,74.99,48.17,61.58,54.09,65909.8
6,mul3,74.99,48.35,61.67,54.19,66261.7
7,reg_Q0,48.13,48.13,48.13,48.13,12403.0
8,reg_Q1,50.0,50.0,50.0,50.0,12533.0
9,reg_Q2,49.71,49.71,49.71,49.71,12511.0
10,reg_Y,49.8,49.8,49.8,49.8,11987.0
11,zfir_8bit,74.94,49.8,49.8,49.8,372130.0
