,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,47.78,49.54,48.37,48.37,9361.33
1,add1,48.75,49.76,49.09,49.09,9609.22
2,add2,48.74,50.14,49.21,49.21,9660.49
3,mul0,65.89,47.69,56.79,50.2,58868.1
4,mul1,65.85,47.88,56.87,50.29,58753.8
5,mul2,65.88,47.98,56.93,50.35,58936.6
6,mul3,65.8,47.73,56.76,50.19,58735.9
7,reg_Q0,47.69,47.69,47.69,47.69,12364.0
8,reg_Q1,49.54,49.54,49.54,49.54,12496.0
9,reg_Q2,49.76,49.76,49.76,49.76,12515.0
10,reg_Y,50.14,50.14,50.14,50.14,12013.0
11,zfir_8bit,65.89,50.14,50.14,50.14,339944.0
