,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,41.89,47.2,43.66,43.66,8745.96
1,add1,44.62,48.46,45.9,45.9,9159.35
2,add2,45.17,49.03,46.46,46.46,9237.97
3,mul0,24.97,41.82,33.4,30.9,24539.9
4,mul1,25.01,41.96,33.48,30.98,24579.5
5,mul2,24.99,42.04,33.52,31.03,24745.0
6,mul3,25.01,41.88,33.45,30.94,24517.8
7,reg_Q0,41.82,41.82,41.82,41.82,11866.0
8,reg_Q1,47.2,47.2,47.2,47.2,12300.0
9,reg_Q2,48.46,48.46,48.46,48.46,12402.0
10,reg_Y,49.03,49.03,49.03,49.03,11933.0
11,zfir_8bit,24.97,49.03,49.03,49.03,186241.0
