,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,39.54,45.73,41.6,41.6,8374.8
1,add1,42.72,47.76,44.4,44.4,8935.08
2,add2,43.56,48.53,45.22,45.22,9051.78
3,mul0,20.05,39.64,29.85,27.83,20386.0
4,mul1,19.94,39.44,29.69,27.69,20238.0
5,mul2,20.14,39.71,29.93,27.91,20546.6
6,mul3,19.96,39.36,29.66,27.66,20293.1
7,reg_Q0,39.64,39.64,39.64,39.64,11682.0
8,reg_Q1,45.73,45.73,45.73,45.73,12177.0
9,reg_Q2,47.76,47.76,47.76,47.76,12345.0
10,reg_Y,48.53,48.53,48.53,48.53,11896.0
11,zfir_8bit,20.05,48.53,48.53,48.53,166383.0
