,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,39.7,46.16,41.85,41.85,8427.27
1,add1,43.03,47.85,44.63,44.63,8972.51
2,add2,43.83,48.53,45.4,45.4,9090.61
3,mul0,20.09,39.58,29.84,27.84,20509.6
4,mul1,20.07,39.82,29.95,27.94,20823.5
5,mul2,20.07,39.89,29.98,27.98,20554.7
6,mul3,20.0,39.82,29.91,27.91,20454.4
7,reg_Q0,39.58,39.58,39.58,39.58,11676.0
8,reg_Q1,46.16,46.16,46.16,46.16,12213.0
9,reg_Q2,47.85,47.85,47.85,47.85,12351.0
10,reg_Y,48.53,48.53,48.53,48.53,11896.0
11,zfir_8bit,20.09,48.53,48.53,48.53,167438.0
