,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,39.59,45.66,41.61,41.61,8371.29
1,add1,42.74,47.58,44.35,44.35,8910.38
2,add2,43.7,48.56,45.32,45.32,9067.66
3,mul0,19.87,39.5,29.69,27.68,20387.0
4,mul1,20.01,39.67,29.84,27.84,20863.0
5,mul2,19.97,39.83,29.9,27.9,20719.0
6,mul3,19.96,39.82,29.89,27.89,20654.1
7,reg_Q0,39.5,39.5,39.5,39.5,11669.0
8,reg_Q1,45.66,45.66,45.66,45.66,12171.0
9,reg_Q2,47.58,47.58,47.58,47.58,12329.0
10,reg_Y,48.56,48.56,48.56,48.56,11898.0
11,zfir_8bit,19.87,48.56,48.56,48.56,167472.0
