,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,37.48,62.47,45.81,45.81,9410.96
1,add1,46.85,24.99,39.56,39.56,6606.08
2,add2,40.61,56.21,45.81,45.81,8479.46
3,mul0,99.96,43.73,71.85,61.85,85443.5
4,mul1,99.96,31.24,65.6,55.6,84279.3
5,mul2,99.96,31.24,65.6,55.6,84890.6
6,mul3,99.96,56.23,78.09,68.1,86798.6
7,reg_Q0,43.73,43.73,43.73,43.73,12280.0
8,reg_Q1,62.47,62.47,62.47,62.47,13738.0
9,reg_Q2,24.99,24.99,24.99,24.99,10755.0
10,reg_Y,56.21,56.21,56.21,56.21,12486.0
11,zfir_8bit,99.96,56.21,56.21,56.21,453831.0
