,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,44.4,47.9,45.56,45.56,9006.26
1,add1,45.95,48.8,46.9,46.9,9248.58
2,add2,46.62,49.52,47.59,47.59,9363.1
3,mul0,33.38,44.23,38.81,35.47,31650.9
4,mul1,33.53,44.56,39.05,35.69,31907.5
5,mul2,33.2,44.01,38.6,35.28,31446.2
6,mul3,33.12,44.45,38.79,35.48,31561.6
7,reg_Q0,44.23,44.23,44.23,44.23,12071.0
8,reg_Q1,47.9,47.9,47.9,47.9,12358.0
9,reg_Q2,48.8,48.8,48.8,48.8,12432.0
10,reg_Y,49.52,49.52,49.52,49.52,11970.0
11,zfir_8bit,33.38,49.52,49.52,49.52,218158.0
