,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,46.61,48.97,47.4,47.4,9239.09
1,add1,47.9,49.68,48.5,48.5,9523.21
2,add2,48.25,49.94,48.81,48.81,9585.36
3,mul0,50.12,46.59,48.36,43.34,45740.9
4,mul1,50.06,46.63,48.34,43.33,45609.7
5,mul2,50.21,46.84,48.53,43.5,45736.1
6,mul3,50.03,46.82,48.43,43.43,45689.2
7,reg_Q0,46.59,46.59,46.59,46.59,12269.0
8,reg_Q1,48.97,48.97,48.97,48.97,12448.0
9,reg_Q2,49.68,49.68,49.68,49.68,12504.0
10,reg_Y,49.94,49.94,49.94,49.94,11999.0
11,zfir_8bit,50.12,49.94,49.94,49.94,281420.0
