,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,44.27,47.76,45.43,45.43,8989.04
1,add1,45.92,48.91,46.92,46.92,9267.89
2,add2,46.64,49.53,47.61,47.61,9364.17
3,mul0,33.35,44.28,38.81,35.47,31678.7
4,mul1,33.38,44.27,38.83,35.48,31795.7
5,mul2,33.27,44.09,38.68,35.36,31622.9
6,mul3,33.3,44.38,38.84,35.51,31721.8
7,reg_Q0,44.28,44.28,44.28,44.28,12076.0
8,reg_Q1,47.76,47.76,47.76,47.76,12347.0
9,reg_Q2,48.91,48.91,48.91,48.91,12439.0
10,reg_Y,49.53,49.53,49.53,49.53,11970.0
11,zfir_8bit,33.35,49.53,49.53,49.53,218425.0
